Category,Genres,Director,Popularity,Winner
3,226,438,7.3,False
4,75,491,8.9,False
6,134,482,3.0,False
0,12,49,23.9,False
3,175,208,1.9,False
0,77,693,8.4,False
5,131,289,10.8,False
7,149,80,1.0,False
3,196,21,21.2,True
6,12,49,23.9,False
6,134,675,78.7,False
2,75,462,18.8,False
7,93,180,3.2,False
4,90,239,19.9,True
6,208,679,46.6,False
2,193,282,5.4,False
4,149,364,14.8,True
4,136,762,13.9,False
2,76,128,10.4,True
8,196,258,4.0,False
6,203,205,2.3,False
6,203,762,15.8,False
3,212,266,2.1,False
6,149,274,14.4,False
8,149,163,1.8,False
4,149,329,6.1,False
3,51,736,1.6,False
4,95,320,14.8,True
2,48,153,18.3,False
0,117,232,1.4,False
3,155,614,18.5,False
2,203,686,19.5,True
1,149,703,57.8,False
0,102,632,55.9,True
3,136,45,3.6,False
1,76,746,90.3,False
5,125,764,10.2,False
7,149,614,8.9,False
8,99,466,8.1,False
8,149,145,45.4,False
1,95,508,8.6,False
2,102,430,12.7,False
1,74,217,10.3,False
3,56,280,9.0,False
3,54,449,3.5,False
1,149,319,5.9,False
0,90,440,9.4,False
0,132,684,33.7,False
6,134,159,25.9,False
3,76,505,12.4,False
1,203,408,10.5,False
4,223,533,44.5,True
1,203,595,6.8,False
0,149,472,43.9,True
1,76,670,20.1,False
1,149,331,1.1,False
7,188,144,20.7,False
1,102,439,7.6,False
0,99,435,7.7,True
1,203,31,8.9,False
2,102,766,77.5,False
3,188,192,20.3,False
5,76,592,18.5,True
8,248,367,19.0,False
3,223,695,73.7,True
1,203,139,2.6,True
0,203,231,3.0,False
8,149,488,18.5,True
4,194,27,8.8,False
4,35,750,46.9,False
0,189,77,12.6,False
0,217,121,31.6,False
8,203,595,9.5,False
1,203,180,1.5,False
0,141,517,8.7,False
7,102,676,4.9,False
2,218,152,2.8,False
1,202,509,40.8,True
8,74,178,9.4,True
1,125,538,2.8,False
5,102,92,3.6,False
8,102,764,18.9,True
1,227,384,675.2,False
0,195,675,6.5,False
3,149,370,10.8,False
7,91,610,19.5,False
0,157,474,7.0,False
3,196,359,4.0,False
1,74,237,15.0,False
6,76,16,6.6,False
1,203,511,2.6,False
0,76,561,7.8,False
2,142,386,19.0,True
3,23,637,31.9,False
0,203,504,21.1,True
7,76,722,32.7,False
6,76,264,9.9,False
5,102,747,12.8,False
6,149,662,19.7,False
5,142,525,13.4,False
6,121,469,10.0,False
1,48,153,18.3,False
6,149,293,2.2,False
3,78,482,4.0,False
1,194,27,8.8,False
0,149,735,4.5,False
0,212,42,21.6,False
7,53,612,12.8,False
8,73,723,20.0,False
4,55,416,43.6,True
0,106,101,25.3,False
3,121,740,14.4,True
6,137,475,57.3,False
2,12,545,25.6,False
3,184,44,4.4,False
0,53,184,36.4,False
7,172,550,21.3,False
3,8,486,13.0,False
6,212,755,7.9,True
0,188,229,10.8,False
3,76,695,108.1,True
3,23,538,11.5,False
4,95,613,16.3,False
0,149,488,18.5,False
1,152,245,4.5,False
5,102,346,23.9,False
3,64,223,14.6,False
6,203,550,21.5,False
6,46,206,13.5,False
3,140,134,25.7,False
7,71,2,37.6,False
4,3,121,29.5,False
6,102,394,6.8,False
0,214,675,18.0,False
0,71,2,13.6,False
1,212,153,8.8,False
7,113,278,4.1,False
0,71,443,18.3,False
2,95,439,8.4,False
1,193,313,4.5,False
8,149,695,20.5,False
4,203,282,6.5,False
3,71,642,3.4,False
4,242,629,3.9,False
2,88,424,22.4,False
6,149,364,14.8,False
0,215,581,6.8,True
3,99,136,95.6,True
4,102,665,768.0,False
1,136,762,6.2,False
8,2,138,71.2,True
1,203,361,21.7,False
3,56,398,6.4,False
3,3,765,23.9,False
7,250,762,14.3,True
8,172,519,13.8,False
3,234,627,38.4,False
5,88,544,30.6,False
8,191,325,19.6,True
6,95,261,29.4,False
4,125,231,17.7,False
8,141,21,7.3,False
6,230,760,69.7,False
2,218,3,24.7,False
1,149,729,5.2,False
6,121,278,3.7,False
8,19,370,9.7,True
5,76,230,15.1,False
0,78,745,13.0,True
6,203,329,4.4,False
6,121,227,11.3,False
2,48,641,35.3,False
0,142,186,22.9,True
5,221,410,29.0,True
2,76,641,13.3,False
5,165,263,37.1,False
0,203,193,9.8,False
4,91,610,19.5,False
7,196,359,4.0,False
6,212,360,4.5,False
6,73,475,41.9,False
0,76,641,13.3,False
5,210,700,9.2,False
1,118,737,4.2,False
2,74,344,14.7,False
4,76,64,19.4,False
3,213,99,5.7,False
3,149,19,15.9,True
8,102,525,19.8,True
0,212,398,9.8,False
8,89,764,10.0,False
2,55,416,43.6,True
4,76,692,42.4,False
0,212,491,31.1,False
6,212,762,12.0,True
2,37,486,11.9,True
3,226,617,1515.7,False
4,89,764,10.0,False
3,149,55,30.7,False
6,225,245,18.9,False
6,203,762,9.0,False
0,77,509,28.9,True
6,125,764,18.1,True
0,217,368,51.3,False
4,95,764,8.8,False
8,89,764,10.0,True
8,178,697,2.6,False
0,34,208,15.0,False
0,76,40,10.6,False
2,177,533,26.1,False
3,172,117,4.4,False
3,191,260,3.3,False
3,102,206,11.9,False
6,179,324,8.4,False
6,225,378,18.1,True
8,88,327,25.0,False
6,188,240,7.2,False
5,97,554,26.9,False
0,149,18,11.3,False
1,149,218,13.6,False
0,77,20,2.3,False
6,102,762,26.8,False
6,135,207,99.8,False
6,82,512,81.4,False
4,76,7,16.0,False
8,89,389,21.0,True
7,218,721,38.2,False
0,172,550,21.3,False
0,102,740,10.2,False
1,172,30,24.6,False
6,50,153,12.5,False
2,197,165,77.0,False
6,191,498,12.4,False
5,102,500,25.2,False
6,95,569,63.9,False
8,136,491,9.7,False
6,100,449,10.5,False
6,107,579,69.6,False
