antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Best Director'}),frozenset({'Best Picture'}),0.2591982427237781,0.31466227347611203,0.1927512355848435,0.7436440677966103,2.363308634306505,1.0,0.11119132724836636,2.6733835282584737,0.7787028061305304,0.5057636887608069,0.6259421854628424,0.6781047564113942
frozenset({'Best Picture'}),frozenset({'Best Director'}),0.31466227347611203,0.2591982427237781,0.1927512355848435,0.612565445026178,2.363308634306505,1.0,0.11119132724836636,1.9120694005372756,0.8417228248959019,0.5057636887608069,0.477006430980482,0.6781047564113942
frozenset({'Best Director'}),frozenset({'Best Supporting Actor'}),0.2591982427237781,0.22679846238330587,0.09060955518945635,0.34957627118644075,1.5413520334879143,1.0,0.031823792287248576,1.1887658819383702,0.47410652110429746,0.2291666666666667,0.15879147005007715,0.3745460048426151
frozenset({'Best Supporting Actor'}),frozenset({'Best Director'}),0.22679846238330587,0.2591982427237781,0.09060955518945635,0.3995157384987894,1.5413520334879143,1.0,0.031823792287248576,1.2336738941737084,0.45423984159779635,0.2291666666666667,0.1894130169060753,0.3745460048426151
frozenset({'Best Supporting Actress'}),frozenset({'Best Director'}),0.2213069741900055,0.2591982427237781,0.08182317408017573,0.369727047146402,1.4264257475711823,1.0,0.024460795267609782,1.1753665676469192,0.3839087096865801,0.20523415977961434,0.14920159588850856,0.34270250662404844
frozenset({'Best Director'}),frozenset({'Best Supporting Actress'}),0.2591982427237781,0.2213069741900055,0.08182317408017573,0.31567796610169496,1.4264257475711823,1.0,0.024460795267609782,1.137904359697577,0.4035452559937513,0.20523415977961434,0.1211915206425857,0.34270250662404844
frozenset({'Best Picture'}),frozenset({'Best Original Screenplay'}),0.31466227347611203,0.19769357495881384,0.07358594179022515,0.2338568935427574,1.1829261198371146,1.0,0.011379232042064619,1.0472017802929379,0.2256386337543054,0.16770963704630787,0.04507419790647585,0.3030395578824898
frozenset({'Best Original Screenplay'}),frozenset({'Best Picture'}),0.19769357495881384,0.31466227347611203,0.07358594179022515,0.37222222222222223,1.1829261198371146,1.0,0.011379232042064619,1.091688413931857,0.1927426522418707,0.16770963704630787,0.08398771367521368,0.3030395578824898
frozenset({'Best Supporting Actor'}),frozenset({'Best Original Screenplay'}),0.22679846238330587,0.19769357495881384,0.051070840197693576,0.225181598062954,1.139043583535109,1.0,0.0062342413739757754,1.035476729818781,0.15787664956011735,0.13676470588235295,0.03426125261645396,0.24175746569814366
frozenset({'Best Original Screenplay'}),frozenset({'Best Supporting Actor'}),0.19769357495881384,0.22679846238330587,0.051070840197693576,0.2583333333333333,1.139043583535109,1.0,0.0062342413739757754,1.0425189271236324,0.15214943366231704,0.13676470588235295,0.04078480113636362,0.24175746569814366
frozenset({'Best Supporting Actor'}),frozenset({'Best Picture'}),0.22679846238330587,0.31466227347611203,0.10598572213069742,0.46731234866828086,1.4851235373908194,1.0,0.03462080233627991,1.2865658229743897,0.4224711493170042,0.2433795712484237,0.22273700875395788,0.4020680416988874
frozenset({'Best Picture'}),frozenset({'Best Supporting Actor'}),0.31466227347611203,0.22679846238330587,0.10598572213069742,0.3368237347294939,1.4851235373908194,1.0,0.03462080233627991,1.165906529090436,0.4766341171781585,0.2433795712484237,0.14229831032841506,0.4020680416988874
