Popularity,Vote_Average,IMDb_Rating
4.0,6.3,6.6
63.9,8.3,8.1
74.1,7.5,8.0
47.7,7.9,8.2
9.8,7.0,7.6
120.3,8.5,8.9
109.2,7.0,6.8
71.2,7.8,7.8
7.9,6.9,7.3
18.5,7.5,7.6
2.2,6.6,7.4
10.4,7.1,7.6
2.6,6.6,7.3
63.2,7.4,7.8
35.7,7.5,7.7
10.9,7.9,8.1
33.4,7.9,8.2
21.6,7.2,7.4
12.9,7.1,7.7
10.4,7.3,7.7
30.4,6.2,6.9
8.9,7.2,7.3
7.1,7.6,7.9
19.6,7.4,7.9
4.8,5.5,6.2
1.4,5.9,5.7
33.5,7.5,7.8
14.3,6.5,6.9
14.6,7.7,7.9
81.4,8.0,8.0
40.3,8.0,7.9
9.3,7.3,7.9
24.0,7.9,8.1
42.4,7.9,7.8
5.6,6.8,7.6
4.1,5.6,6.6
30.9,7.9,8.1
38.4,7.7,8.1
112.6,8.6,9.0
2.4,6.8,7.2
18.5,7.5,7.6
9.4,6.7,7.0
11.1,6.5,6.8
6.3,7.0,7.5
11.9,7.5,7.8
11.2,7.1,7.5
95.6,7.9,8.0
10.2,7.0,7.1
67.3,8.1,7.8
148.8,8.2,8.5
25.8,7.4,7.4
13.7,7.5,8.0
47.0,7.0,7.1
10.2,6.8,7.3
48.1,7.5,7.3
3.2,5.5,5.6
11.4,7.2,7.7
17.3,7.7,7.9
3.8,6.3,7.1
14.0,7.4,7.8
26.9,7.2,7.3
14.0,7.0,7.3
57.2,7.9,8.1
21.2,7.2,7.6
13.4,7.0,7.0
4.5,7.1,7.9
3.6,6.2,6.6
40.8,8.4,8.7
13.7,7.5,8.0
9.0,7.7,8.1
44.5,7.4,7.9
22.9,7.9,8.1
8.9,7.0,7.3
3.2,7.0,7.0
13.4,7.1,7.3
7.4,6.8,7.8
17.5,8.1,8.2
24.3,8.3,8.4
8.9,7.0,7.6
20.7,7.3,7.3
9.0,6.8,7.2
22.0,7.2,7.3
20.4,6.3,6.4
14.3,7.6,7.8
19.2,6.8,6.8
4.2,6.5,7.0
8.4,7.5,7.5
28.9,8.0,8.4
16.0,7.7,7.9
12.8,7.2,7.5
63.2,7.4,7.8
13.4,7.0,7.3
81.4,8.0,8.0
28.1,7.1,7.2
4.4,6.7,7.4
12.7,7.8,8.1
255.2,7.1,7.4
3.3,5.2,6.6
29.0,8.0,8.1
20.4,7.5,7.8
24.7,7.7,7.3
11.5,6.6,7.0
110.0,7.3,7.8
3.3,6.1,7.0
98.2,8.1,7.8
307.8,7.3,6.4
0.8,5.5,5.8
34.6,7.6,7.6
13.6,7.0,7.2
40.1,8.1,8.2
3.0,7.3,7.3
11.6,5.9,6.2
18.5,7.6,8.0
6.5,6.5,6.9
12.4,8.0,8.1
9.7,7.6,7.9
12.0,7.6,8.0
18.1,6.8,7.1
1.0,6.9,7.1
10.7,6.2,6.9
21.2,7.7,8.1
15.8,7.2,7.5
7.1,6.3,7.5
44.5,7.7,8.1
13.0,6.9,7.3
7.0,7.4,7.5
8.0,7.5,7.8
12.4,7.3,7.5
27.6,7.2,7.5
69.6,8.2,8.5
7.8,7.1,7.8
11.3,7.9,7.8
3.6,6.7,7.2
3.9,7.0,7.4
29.4,7.3,7.4
4.4,6.1,6.8
2.2,6.6,7.4
29.2,7.8,8.0
14.8,6.6,6.7
31.1,8.0,8.3
46.0,8.0,8.2
20.0,7.8,8.1
12.3,7.5,7.8
13.5,7.4,7.7
13.7,7.5,8.0
2.1,6.5,7.2
33.1,8.0,8.3
19.8,7.5,7.8
29.8,7.9,8.2
18.1,7.5,7.8
255.2,7.1,7.4
23.1,7.6,7.7
11.0,6.7,7.3
6.4,6.2,6.6
24.1,7.7,8.1
26.1,7.6,8.0
8.7,6.0,6.7
13.4,7.7,7.9
16.5,8.1,8.0
54.0,7.4,7.7
14.3,7.6,7.8
6.6,6.9,7.3
37.5,7.6,7.7
25.3,7.4,7.8
225.8,8.2,8.5
3.0,6.7,7.0
17.3,7.0,7.4
61.7,7.7,8.0
17.1,7.0,7.2
10.5,7.0,7.3
25.9,6.9,7.2
1.2,7.0,7.1
24.0,7.9,8.1
29.2,7.8,8.0
10.0,7.1,7.4
24.7,6.8,6.9
6.1,6.7,7.5
30.2,7.4,7.4
8.5,6.5,6.8
9.6,7.3,7.6
2.7,6.3,6.7
43.6,7.8,8.0
11.3,7.0,7.1
5.4,6.1,6.5
11.0,6.4,7.0
36.2,6.2,5.8
9.9,6.8,7.2
11.1,7.2,7.5
5.8,6.9,6.5
10.4,7.1,7.6
11.4,7.2,7.7
4.9,6.3,7.0
12.1,6.2,6.2
6.6,6.9,7.2
41.3,7.8,7.1
38.2,7.5,7.6
13.6,7.1,7.6
14.4,6.1,6.2
2.4,5.7,6.6
127.9,8.5,8.8
12.7,6.7,7.2
9.8,6.8,6.9
18.2,7.6,7.9
2.9,7.1,7.3
36.4,7.5,8.0
94.1,7.8,8.3
20.9,6.9,7.3
9.3,7.5,7.9
21.3,7.6,7.7
9.8,5.6,5.8
13.5,7.0,7.6
6.0,6.4,6.8
28.9,8.0,8.4
10.2,5.9,6.5
10.5,6.4,6.9
77.9,7.6,8.1
11.7,6.6,7.1
9.4,7.1,7.7
59.5,7.7,8.2
32.0,8.1,8.2
4.0,7.1,7.4
10.0,6.5,7.2
10.0,7.1,7.0
11.1,7.5,7.8
10.0,7.3,7.7
20.6,7.3,7.4
2.2,6.3,6.3
5.8,7.0,7.4
9.9,7.4,7.8
33.1,8.0,8.3
77.9,8.2,8.4
6.5,6.6,6.9
8.1,6.7,7.2
15.5,7.3,7.7
11.7,6.3,6.5
4.9,6.4,6.7
8.6,7.3,7.6
29.2,7.8,8.0
17.9,7.0,7.4
2.2,6.0,6.9
26.2,7.1,7.4
19.6,7.4,7.9
27.2,7.3,7.7
113.5,8.2,8.1
12.6,7.5,7.8
6.9,7.1,7.4
4.0,6.3,6.6
10.4,6.8,6.9
8.0,7.0,8.0
3.8,6.7,7.5
79.2,8.3,8.5
20.7,7.7,7.7
18.0,7.8,8.1
44.5,7.7,8.1
12.6,6.7,6.9
13.4,7.4,7.6
8.5,7.4,7.6
25.3,7.4,7.8
25.6,7.5,7.8
6.3,6.6,7.1
43.9,7.8,8.0
14.8,7.1,7.4
12.6,6.7,6.8
33.1,7.1,7.2
12.6,6.8,7.2
5.6,6.8,7.6
13.6,7.6,7.6
7.0,7.0,7.3
6.3,6.3,7.0
12.4,7.4,7.5
5.2,6.6,7.2
10.8,5.9,6.2
16.5,7.0,7.2
6.1,6.7,7.5
9.3,6.7,7.1
8.9,7.0,7.6
33.4,7.9,8.2
20.6,7.2,7.5
9.8,7.3,7.5
31.9,6.7,6.7
31.6,8.0,8.1
1.1,5.6,6.5
34.2,7.4,7.7
23.9,7.4,7.7
6.7,5.9,6.5
89.4,6.7,6.5
13.4,6.4,6.6
12.3,7.3,7.5
18.0,7.2,7.3
15.0,7.1,6.8
9.9,7.2,7.5
2.4,6.2,6.3
17.7,8.1,8.2
7.6,6.0,6.0
2.8,5.7,6.3
14.4,6.1,6.2
9.9,7.2,7.5
62.8,7.8,8.2
17.2,7.0,7.3
17.3,7.0,7.4
8.7,7.1,7.4
69.6,8.2,8.5
21.3,7.1,7.1
35.5,7.4,7.6
10.8,7.1,7.3
14.8,7.1,7.4
2.0,4.5,5.7
8.7,7.3,7.5
20.0,8.1,8.3
90.3,7.8,8.9
15.9,6.6,6.3
13.4,7.1,7.3
22.3,7.0,6.8
1.2,6.8,6.7
33.4,7.6,7.8
12.7,6.2,6.7
1.8,5.8,5.7
9.0,6.8,6.4
21.6,7.2,7.4
9.5,6.9,7.2
11.1,6.5,6.8
17.7,8.1,8.2
9.6,6.8,7.1
13.6,6.8,7.1
20.2,7.5,7.7
6.1,5.8,6.1
2.4,6.8,7.2
13.2,7.2,7.4
20.3,7.2,7.4
11.0,7.1,7.4
71.2,7.8,7.8
29.2,8.0,8.3
13.8,7.3,7.5
9.5,6.8,7.3
24.9,7.9,7.9
33.4,7.6,7.8
8.8,6.0,6.4
18.3,7.6,7.5
14.8,7.1,7.4
2.8,6.4,6.7
77.0,7.6,7.9
67.3,8.1,7.8
3.3,6.0,6.3
23.9,7.5,7.8
15.0,7.1,7.3
15.1,7.1,7.4
9.8,6.6,7.0
14.3,7.0,7.1
6.8,6.0,6.3
13.0,6.6,6.7
109.2,7.0,6.8
26.1,7.6,8.0
11.6,7.4,7.2
68.5,7.5,7.1
37.1,7.2,7.3
7.9,7.3,7.6
7.6,5.2,5.6
25.3,8.3,8.4
57.3,7.4,7.6
11.8,6.8,8.3
8.1,6.7,7.2
20.6,7.3,7.3
23.6,7.6,7.8
81.4,8.1,8.3
10.8,6.7,6.9
1.9,7.1,7.3
27.9,7.0,7.1
16.3,7.2,7.6
17.9,7.6,7.6
8.1,6.8,7.2
2.9,7.1,7.3
10.5,6.9,7.1
8.0,7.5,7.8
29.1,8.1,8.2
6.8,7.2,7.7
7.1,7.3,7.8
