IMDb_Rating,Popularity,Vote_Count,Vote_Average,Winner,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress
7.8,12.554,513,7.5,0,False,False,False,False,False,False,True,False,False
7.8,12.554,513,7.5,0,False,False,False,False,False,True,False,False,False
7.6,4.935,83,7.0,0,True,False,False,False,False,False,False,False,False
6.2,2.978,13,5.9,0,False,False,False,True,False,False,False,False,False
7.4,9.18,219,7.0,1,True,False,False,False,False,False,False,False,False
7.4,9.18,219,7.0,0,False,False,False,False,False,False,False,True,False
7.4,9.18,219,7.0,1,False,False,False,False,False,False,False,False,True
7.4,9.18,219,7.0,0,False,False,False,False,True,False,False,False,False
7.4,9.18,219,7.0,1,False,False,False,False,False,False,True,False,False
6.8,16.312,2267,6.5,0,False,False,False,False,False,False,False,True,False
7.9,16.011,1832,7.7,1,False,False,False,False,False,False,False,True,False
7.9,16.011,1832,7.7,0,False,False,False,False,False,False,False,False,True
7.9,16.011,1832,7.7,0,False,False,False,False,True,False,False,False,False
7.9,16.011,1832,7.7,0,False,False,False,False,False,False,True,False,False
7.4,8.671,49,7.1,0,False,False,False,False,False,False,False,False,True
7.4,8.671,49,7.1,0,False,False,False,True,False,False,False,False,False
7.4,8.671,49,7.1,0,False,False,False,False,False,False,True,False,False
7.9,30.654,2779,7.5,0,False,False,False,False,False,False,False,False,True
7.9,30.654,2779,7.5,0,False,False,False,False,False,False,False,False,True
7.9,30.654,2779,7.5,1,False,False,False,False,False,True,False,False,False
5.4,1.432,3,5.7,0,False,False,False,True,False,False,False,False,False
8.4,28.892,4279,8.0,1,True,False,False,False,False,False,False,False,False
8.4,28.892,4279,8.0,0,True,False,False,False,False,False,False,False,False
8.4,28.892,4279,8.0,0,False,False,False,True,False,False,False,False,False
8.4,28.892,4279,8.0,1,False,False,False,False,True,False,False,False,False
8.4,28.892,4279,8.0,1,False,False,False,False,False,False,True,False,False
8.4,28.892,4279,8.0,1,False,False,True,False,False,False,False,False,False
7.9,11.385,1111,7.9,0,False,False,False,False,True,False,False,False,False
7.9,11.385,1111,7.9,0,False,False,False,False,False,True,False,False,False
8.3,56.549,11612,7.915,0,False,False,False,True,False,False,False,False,False
8.3,56.549,11612,7.915,0,False,False,False,False,False,True,False,False,False
7.7,6.346,88,6.915,0,False,False,False,False,True,False,False,False,False
7.7,6.346,88,6.915,0,False,False,False,False,False,False,True,False,False
7.7,6.346,88,6.915,0,False,False,False,False,False,True,False,False,False
8.3,33.125,12137,8.01,1,True,False,False,False,False,False,False,False,False
8.3,33.125,12137,8.01,0,False,True,False,False,False,False,False,False,False
8.3,33.125,12137,8.01,1,False,False,False,True,False,False,False,False,False
8.3,33.125,12137,8.01,1,False,False,False,False,True,False,False,False,False
8.3,33.125,12137,8.01,1,False,False,False,False,False,False,True,False,False
8.3,33.125,12137,8.01,1,False,False,False,False,False,True,False,False,False
7.5,16.26,1039,7.325,0,True,False,False,False,False,False,False,False,False
7.5,16.26,1039,7.325,0,False,False,False,False,False,False,False,True,False
7.5,16.26,1039,7.325,0,False,False,False,False,False,False,True,False,False
7.5,16.26,1039,7.325,1,False,False,True,False,False,False,False,False,False
7.8,33.713,5495,7.589,0,False,False,False,False,False,False,False,False,True
7.5,26.321,1443,7.0,0,False,False,False,False,False,False,False,False,True
7.4,26.321,1443,7.0,0,False,False,False,False,True,False,False,False,False
7.4,26.321,1443,7.0,0,False,False,False,False,False,False,True,False,False
