Year,Popularity,Vote_Count,Vote_Average,IMDb_Rating
1976,5.501,73,6.8,7.3
2014,21.879,5186,7.498,7.9
2014,21.879,5186,7.498,7.9
2014,21.879,5186,7.498,7.9
2014,21.879,5186,7.498,7.9
2014,21.879,5186,7.498,7.9
1999,14.381,1337,7.407,7.5
1999,14.381,1337,7.407,7.5
1938,7.742,90,6.733,7.2
1938,7.742,90,6.733,7.2
1938,7.742,90,6.733,7.2
1991,29.339,2012,7.619,7.8
1991,29.339,2012,7.619,7.8
1995,85.728,10234,7.9,8.3
1995,85.728,10234,7.9,8.3
1995,85.728,10234,7.9,8.3
1995,85.728,10234,7.9,8.3
1985,24.381,3338,7.667,7.8
1980,8.555,147,7.085,7.8
1961,27.285,4188,7.652,7.6
1979,9.356,259,7.1,7.7
1979,9.356,259,7.1,7.7
1979,9.356,259,7.1,7.7
1979,9.356,259,7.1,7.7
1996,15.905,987,7.5,7.8
2011,30.587,4382,6.522,6.8
2011,30.587,4382,6.522,6.8
2015,21.181,6848,7.235,7.6
2015,21.181,6848,7.235,7.6
2015,21.181,6848,7.235,7.6
2001,48.906,5083,6.745,6.8
1946,12.664,630,7.7,8.0
1946,12.664,630,7.7,8.0
1951,1.972,17,6.9,7.3
1987,10.676,412,6.7,7.3
1987,10.676,412,6.7,7.3
1987,10.676,412,6.7,7.3
1987,10.676,412,6.7,7.3
1987,10.676,412,6.7,7.3
1987,10.676,412,6.7,7.3
1984,7.259,458,7.159,7.4
1984,7.259,458,7.159,7.4
1935,3.052,21,6.4,6.7
2005,50.911,7032,7.789,7.7
2005,50.911,7032,7.789,7.7
2005,50.911,7032,7.789,7.7
2005,50.911,7032,7.789,7.7
2005,50.911,7032,7.789,7.7
2005,50.911,7032,7.789,7.7
2005,50.911,7032,7.789,7.7
1950,15.792,197,6.67,7.1
1950,15.792,197,6.67,7.1
1954,9.266,71,6.3,6.9
2015,21.733,3090,7.312,7.5
2015,21.733,3090,7.312,7.5
2015,21.733,3090,7.312,7.5
1980,11.178,465,7.052,7.1
1991,12.034,391,6.4,6.8
1991,12.034,391,6.4,6.8
1991,12.034,391,6.4,6.8
1991,12.034,391,6.4,6.8
1991,12.034,391,6.4,6.8
1991,12.034,391,6.4,6.8
1991,12.034,391,6.4,6.8
1988,13.48,584,6.64,7.0
1929,1.489,22,6.5,6.3
1994,9.952,622,7.093,7.4
1994,9.952,622,7.093,7.4
1994,9.952,622,7.093,7.4
1994,9.952,622,7.093,7.4
1994,9.952,622,7.093,7.4
1998,12.783,251,6.311,6.8
1956,10.563,224,6.1,6.4
1969,22.907,2218,7.603,8.0
1969,22.907,2218,7.603,8.0
1969,22.907,2218,7.603,8.0
1960,7.401,90,6.3,6.4
1960,7.401,90,6.3,6.4
1972,5.627,77,6.8,7.2
1972,5.627,77,6.8,7.2
1972,12.797,890,7.4,7.8
1972,12.797,890,7.4,7.8
1972,12.797,890,7.4,7.8
1972,12.797,890,7.4,7.8
1972,12.797,890,7.4,7.8
1969,8.774,216,7.113,7.2
1950,8.562,72,7.111,7.6
1950,8.562,72,7.111,7.6
1978,6.865,108,5.81,6.2
1978,6.865,108,5.81,6.2
2017,67.331,12163,8.1,7.8
2017,67.331,12163,8.1,7.8
2017,67.331,12163,8.1,7.8
1967,6.402,70,6.207,6.6
1937,7.08,130,7.0,7.3
1989,10.392,133,6.8,7.3
2018,9.604,1269,6.81,7.1
2018,9.604,1269,6.81,7.1
2018,9.604,1269,6.81,7.1
1991,20.668,3462,7.258,7.3
1991,20.668,3462,7.258,7.3
2005,10.504,1469,7.0,7.3
2005,10.504,1469,7.0,7.3
2005,10.504,1469,7.0,7.3
2005,10.504,1469,7.0,7.3
2005,10.504,1469,7.0,7.3
1935,13.985,233,7.24,7.7
1935,13.985,233,7.24,7.7
2016,31.009,6439,7.899,7.8
1963,5.031,28,6.5,7.0
2013,25.63,6973,7.54,7.8
2013,25.63,6973,7.54,7.8
2013,25.63,6973,7.54,7.8
1937,11.91,162,7.451,7.9
1937,11.91,162,7.451,7.9
1942,2.891,25,6.5,6.4
1959,1.432,13,6.5,6.9
1954,7.153,82,6.0,6.7
1971,10.849,185,6.6,7.0
2015,26.714,3723,7.493,7.2
2015,26.714,3723,7.493,7.2
2015,26.714,3723,7.493,7.2
2015,26.714,3723,7.493,7.2
1976,26.534,3896,7.3,7.4
1976,26.534,3896,7.3,7.4
1943,31.099,5511,8.157,8.5
1943,31.099,5511,8.157,8.5
1943,31.099,5511,8.157,8.5
1943,31.099,5511,8.157,8.5
1965,6.694,48,6.3,6.6
1995,32.963,5900,8.0,8.2
2000,48.021,11469,7.661,7.8
1965,11.395,249,6.373,6.8
1958,12.745,764,7.651,7.9
1958,12.745,764,7.651,7.9
1958,12.745,764,7.651,7.9
1958,12.745,764,7.651,7.9
1958,12.745,764,7.651,7.9
2002,71.483,15804,7.979,8.1
2022,12.75,456,6.534,6.6
1932,5.851,116,5.5,5.8
1932,5.851,116,5.5,5.8
1932,5.851,116,5.5,5.8
1998,17.64,926,8.131,8.0
1949,6.688,90,6.6,7.3
1949,6.688,90,6.6,7.3
1949,6.688,90,6.6,7.3
2008,21.668,4182,7.593,7.7
2008,21.668,4182,7.593,7.7
1992,18.98,1090,7.434,7.5
1979,0.803,14,5.7,6.0
1981,17.595,922,6.781,7.1
1981,17.595,922,6.781,7.1
1981,17.595,922,6.781,7.1
1981,17.595,922,6.781,7.1
2007,17.95,1493,6.538,7.0
1968,6.808,103,6.5,7.0
1964,9.005,132,6.7,6.7
2002,19.547,2633,7.1,7.2
2002,19.547,2633,7.1,7.2
2002,19.547,2633,7.1,7.2
2002,19.547,2633,7.1,7.2
2002,19.547,2633,7.1,7.2
2002,19.547,2633,7.1,7.2
2002,19.547,2633,7.1,7.2
2002,19.547,2633,7.1,7.2
1986,9.481,320,6.9,7.2
1986,9.481,320,6.9,7.2
1986,9.481,320,6.9,7.2
1986,9.481,320,6.9,7.2
1986,9.481,320,6.9,7.2
2006,36.534,7175,7.6,7.9
2006,36.534,7175,7.6,7.9
1946,10.948,417,8.1,8.3
1974,29.814,3858,7.911,8.2
1974,29.814,3858,7.911,8.2
1974,29.814,3858,7.911,8.2
1974,29.814,3858,7.911,8.2
1974,29.814,3858,7.911,8.2
1974,29.814,3858,7.911,8.2
2000,15.065,3293,6.965,7.2
2000,15.065,3293,6.965,7.2
2000,15.065,3293,6.965,7.2
2000,15.065,3293,6.965,7.2
1930,9.768,129,5.6,5.8
1930,9.768,129,5.6,5.8
1930,9.768,129,5.6,5.8
1930,9.768,129,5.6,5.8
1930,9.768,129,5.6,5.8
1973,2.864,27,6.8,6.8
2005,22.729,2210,7.556,8.0
1941,29.191,5571,7.999,8.3
1941,29.191,5571,7.999,8.3
1941,29.191,5571,7.999,8.3
1941,29.191,5571,7.999,8.3
2003,47.008,7486,8.4,8.6
2003,47.008,7486,8.4,8.6
2003,47.008,7486,8.4,8.6
1991,13.366,787,6.444,6.8
1974,4.835,32,7.0,7.1
1934,8.193,82,6.0,6.8
1934,8.193,82,6.0,6.8
1963,29.747,754,7.037,7.0
1963,29.747,754,7.037,7.0
1963,29.747,754,7.037,7.0
1977,35.512,4247,7.4,7.6
1977,35.512,4247,7.4,7.6
1977,35.512,4247,7.4,7.6
2004,24.326,3453,6.834,7.2
2004,24.326,3453,6.834,7.2
1980,11.622,257,7.3,7.5
1980,11.622,257,7.3,7.5
1980,11.622,257,7.3,7.5
1980,11.622,257,7.3,7.5
1985,14.807,1290,6.6,6.7
2021,36.013,2279,7.937,8.0
2021,36.013,2279,7.937,8.0
2021,36.013,2279,7.937,8.0
2003,24.255,1792,6.92,7.2
2003,24.255,1792,6.92,7.2
2003,24.255,1792,6.92,7.2
2018,12.383,1476,7.4,7.5
