Winner,Category,Genres,Director,Popularity
False,Best Picture,"Adventure, Drama, Romance","Mervyn LeRoy, Michael Curtiz",2.8
False,Best Supporting Actor,"Drama, Mystery, War",Francis Ford Coppola,61.2
True,Best Cinematography,"Drama, Mystery, War",Francis Ford Coppola,61.2
False,Best Director,"Drama, Mystery, War",Francis Ford Coppola,61.2
False,Best Picture,"Drama, Mystery, War",Francis Ford Coppola,61.2
False,Best Adapted Screenplay,"Drama, Mystery, War",Francis Ford Coppola,61.2
False,Best Supporting Actor,"Adventure, Drama, History",Ron Howard,35.3
False,Best Supporting Actress,"Adventure, Drama, History",Ron Howard,35.3
False,Best Picture,"Adventure, Drama, History",Ron Howard,35.3
False,Best Adapted Screenplay,"Adventure, Drama, History",Ron Howard,35.3
False,Best Cinematography,"Action, Adventure, Comedy",John Rawlins,5.3
False,Best Supporting Actor,"Biography, Drama, History",Ben Affleck,27.2
True,Best Picture,"Biography, Drama, History",Ben Affleck,27.2
True,Best Adapted Screenplay,"Biography, Drama, History",Ben Affleck,27.2
False,Best Cinematography,"Comedy, Drama, Romance",Mitchell Leisen,2.3
False,Best Cinematography,"Action, Comedy, Drama",George Nicholls Jr.,1.2
True,Best Cinematography,"Adventure, Comedy, Family",Michael Anderson,11.9
False,Best Director,"Adventure, Comedy, Family",Michael Anderson,11.9
True,Best Picture,"Adventure, Comedy, Family",Michael Anderson,11.9
True,Best Adapted Screenplay,"Adventure, Comedy, Family",Michael Anderson,11.9
False,Best Cinematography,"Drama, Mystery, Sci-Fi",Denis Villeneuve,77.0
False,Best Director,"Drama, Mystery, Sci-Fi",Denis Villeneuve,77.0
False,Best Picture,"Drama, Mystery, Sci-Fi",Denis Villeneuve,77.0
False,Best Adapted Screenplay,"Drama, Mystery, Sci-Fi",Denis Villeneuve,77.0
False,Best Cinematography,Drama,John Ford,3.9
False,Best Picture,Drama,John Ford,3.9
False,Best Actor,"Comedy, Romance",Steve Gordon,12.0
True,Best Supporting Actor,"Comedy, Romance",Steve Gordon,12.0
False,Best Original Screenplay,"Comedy, Romance",Steve Gordon,12.0
True,Best Actor,"Comedy, Drama, Romance",James L. Brooks,24.5
False,Best Supporting Actor,"Comedy, Drama, Romance",James L. Brooks,24.5
True,Best Actress,"Comedy, Drama, Romance",James L. Brooks,24.5
False,Best Picture,"Comedy, Drama, Romance",James L. Brooks,24.5
False,Best Original Screenplay,"Comedy, Drama, Romance",James L. Brooks,24.5
False,Best Actor,"Biography, Drama, History",Julian Schnabel,16.3
False,Best Actor,"Crime, Drama, Romance",Louis Malle,10.2
False,Best Actress,"Crime, Drama, Romance",Louis Malle,10.2
False,Best Director,"Crime, Drama, Romance",Louis Malle,10.2
False,Best Picture,"Crime, Drama, Romance",Louis Malle,10.2
False,Best Original Screenplay,"Crime, Drama, Romance",Louis Malle,10.2
False,Best Supporting Actress,"Drama, Mystery, Romance",Joe Wright,33.4
False,Best Cinematography,"Drama, Mystery, Romance",Joe Wright,33.4
False,Best Picture,"Drama, Mystery, Romance",Joe Wright,33.4
False,Best Adapted Screenplay,"Drama, Mystery, Romance",Joe Wright,33.4
False,Best Original Screenplay,"Drama, War",Louis Malle,13.6
False,Best Actress,"Comedy, Drama",John Wells,11.4
False,Best Supporting Actress,"Comedy, Drama",John Wells,11.4
False,Best Actress,"Comedy, Drama, Romance",Morton DaCosta,8.0
False,Best Supporting Actress,"Comedy, Drama, Romance",Morton DaCosta,8.0
False,Best Cinematography,"Comedy, Drama, Romance",Morton DaCosta,8.0
False,Best Picture,"Comedy, Drama, Romance",Morton DaCosta,8.0
False,Best Actress,"Drama, Music",Ingmar Bergman,12.1
False,Best Original Screenplay,"Drama, Music",Ingmar Bergman,12.1
