IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
7.5,18.506,889,7.4,False,False,False,False,True,False,False,False,False,0
7.8,63.155,12224,7.367,False,False,False,False,True,False,False,False,False,0
8.1,8.506,174,7.601,False,False,False,False,True,False,False,False,False,0
6.1,1.432,11,5.7,True,False,False,False,False,False,False,False,False,0
8.7,40.769,10569,8.414,True,False,False,False,False,False,False,False,False,1
7.9,17.285,1446,7.7,False,False,False,False,False,False,True,False,False,0
8.0,18.461,2309,7.6,False,False,False,False,False,False,True,False,False,1
8.0,19.049,574,7.704,False,False,False,True,False,False,False,False,False,1
7.6,18.537,346,7.5,True,False,False,False,False,False,False,False,False,0
7.5,14.801,370,7.039,True,False,False,False,False,False,False,False,False,0
7.5,14.939,3082,7.5,False,True,False,False,False,False,False,False,False,1
6.7,3.66,39,6.5,False,False,False,True,False,False,False,False,False,0
7.3,10.816,141,6.585,False,False,False,True,False,False,False,False,False,0
8.5,31.099,5511,8.157,False,False,False,True,False,False,False,False,False,0
8.7,40.769,10569,8.414,False,False,False,False,False,False,True,False,False,1
7.7,15.931,3909,7.645,False,True,False,False,False,False,False,False,False,0
7.9,10.193,319,7.536,True,False,False,False,False,False,False,False,False,0
7.2,13.559,3355,7.023,False,False,False,False,False,False,False,True,False,0
8.1,11.734,784,7.8,False,False,False,True,False,False,False,False,False,1
6.2,1.909,22,5.3,False,False,False,False,True,False,False,False,False,1
8.1,42.437,11319,7.936,False,False,False,False,True,False,False,False,False,0
8.6,38.366,4419,8.3,True,False,False,False,False,False,False,False,False,0
7.2,9.084,96,6.6,True,False,False,False,False,False,False,False,False,0
7.0,5.487,66,6.1,True,False,False,False,False,False,False,False,False,0
6.0,1.499,8,6.4,False,True,False,False,False,False,False,False,False,0
8.2,25.665,5004,7.791,False,False,False,True,False,False,False,False,False,0
8.4,24.252,2620,8.3,False,True,False,False,False,False,False,False,False,0
7.7,10.687,440,7.327,False,False,False,True,False,False,False,False,False,1
7.0,5.688,43,6.674,False,False,False,True,False,False,False,False,False,0
7.8,25.258,4376,7.389,False,False,False,False,False,False,False,False,True,1
8.3,29.384,2631,7.992,False,False,False,False,False,False,False,False,True,0
7.1,27.901,1110,7.0,False,False,False,False,False,False,False,True,False,1
7.8,12.194,365,7.518,True,False,False,False,False,False,False,False,False,0
