IMDb_Rating,Popularity,Vote_Average,Category,Winner
8.1,63.9,8.3,3,1
8.1,21.2,7.7,4,0
7.1,18.0,7.0,6,1
8.1,23.8,7.8,7,0
8.1,57.2,7.9,5,1
7.3,7.8,7.0,6,0
8.4,24.3,8.3,1,0
7.6,5.6,6.8,4,0
7.7,26.0,7.8,2,0
7.8,14.7,7.5,4,1
7.6,18.6,7.1,2,0
7.8,12.5,7.3,1,0
7.2,16.2,7.0,5,0
7.2,8.4,6.8,4,0
6.9,4.9,6.3,5,0
7.1,20.9,6.9,3,1
7.3,29.2,7.1,6,1
8.1,29.0,8.0,2,1
7.9,24.7,7.6,5,0
7.6,8.8,7.1,1,0
8.1,69.7,7.7,0,0
7.5,21.7,7.3,8,0
7.6,13.3,7.3,4,0
7.4,5.9,7.1,2,0
7.1,23.3,6.9,3,0
6.9,9.5,6.6,1,0
6.9,3.4,6.0,0,0
8.3,81.8,8.2,3,1
7.5,8.1,7.4,2,0
6.8,5.9,6.5,0,1
7.5,13.9,7.3,1,0
7.3,2.6,6.6,8,0
6.9,16.6,6.8,8,0
7.4,13.3,6.9,0,0
7.6,18.9,7.6,1,1
8.2,40.1,8.1,1,0
8.4,24.3,8.3,4,0
6.7,14.4,6.2,1,1
7.5,20.9,7.0,1,0
7.9,11.4,7.9,1,0
7.7,6.1,6.8,1,0
7.0,7.3,6.7,6,0
8.1,113.5,8.2,1,0
8.1,19.1,7.9,0,1
7.3,8.5,7.0,6,0
7.4,21.0,7.3,2,0
6.8,6.7,6.0,0,0
8.2,44.1,7.9,6,1
8.4,25.3,8.3,2,0
7.9,15.6,7.8,8,0
7.4,2.2,6.6,4,0
9.0,78.7,8.5,2,0
7.2,23.4,6.9,6,1
7.6,9.7,7.2,1,0
6.0,3.5,6.3,6,0
8.1,12.0,7.8,1,1
5.6,0.9,2.0,3,0
8.0,13.6,7.5,3,0
7.1,32.0,6.8,2,0
7.0,22.9,7.0,0,0
7.7,24.4,7.7,0,0
7.2,2.3,6.7,4,0
6.9,4.2,6.5,8,1
7.2,9.0,6.9,5,0
7.7,23.9,7.4,3,0
7.9,11.2,7.3,8,0
7.0,5.2,6.7,8,0
7.7,6.1,6.8,0,0
7.0,11.6,6.7,8,0
7.7,21.2,7.2,6,0
8.2,44.1,7.9,1,1
8.1,57.2,7.9,0,1
7.5,7.1,6.3,2,0
9.2,176.2,8.7,2,1
5.9,3.4,6.4,0,0
7.3,10.6,6.8,8,0
7.1,13.5,6.5,8,1
7.3,29.2,7.1,1,0
7.3,8.3,6.9,8,0
7.4,26.2,7.1,8,0
7.7,15.9,7.6,1,1
7.4,15.1,7.1,2,0
7.3,60.6,7.4,7,0
7.2,11.8,6.7,0,0
6.5,6.9,6.2,2,0
7.5,24.7,7.0,0,0
7.2,17.8,7.0,0,1
8.3,33.1,8.0,4,1
7.2,24.7,7.0,3,0
7.5,4.5,6.5,6,0
7.1,3.8,6.3,0,0
7.9,24.7,7.6,6,0
7.7,23.9,7.4,5,0
8.2,122.5,8.0,5,0
6.6,8.5,6.4,6,0
7.8,35.7,7.8,7,0
5.5,24.6,6.0,8,0
6.9,16.6,6.8,1,0
7.6,38.2,7.5,8,0
7.5,7.9,7.2,2,1
6.6,1.3,6.0,0,0
6.8,11.4,6.4,4,1
8.3,130.7,8.1,1,1
9.0,167.1,8.5,1,1
7.9,15.6,7.5,7,0
7.2,9.5,6.9,2,0
7.6,21.9,7.3,3,0
7.6,26.6,7.6,0,0
7.6,9.8,7.2,4,0
8.3,81.4,8.1,4,1
6.5,8.3,6.3,0,0
7.5,23.6,7.6,3,0
7.8,18.1,7.5,4,0
