IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
6.6,3.316,39.0,6.7,False,False,False,True,False,False,False,False,False,1.0
8.7,40.769,10569.0,8.414,False,False,False,True,False,False,False,False,False,0.0
7.2,8.895,252.0,7.0,False,True,False,False,False,False,False,False,False,0.0
7.0,68.854,1225.0,6.943,True,False,False,False,False,False,False,False,False,0.0
7.3,8.883,396.0,7.2,False,True,False,False,False,False,False,False,False,0.0
7.3,8.676,123.0,7.1,False,False,False,False,False,False,False,False,True,1.0
8.0,675.246,1608.0,6.895,False,True,False,False,False,False,False,False,False,
7.0,23.59,2651.0,6.6,False,False,True,False,False,False,False,False,False,
7.8,29.493,2076.0,7.5,False,False,False,False,True,False,False,False,False,0.0
6.8,0.756,7.0,5.4,True,False,False,False,False,False,False,False,False,
6.7,8.904,382.0,6.4,False,False,True,False,False,False,False,False,False,0.0
7.3,5.191,67.0,6.6,False,False,False,False,False,False,False,False,True,0.0
7.5,15.455,826.0,7.194,False,False,True,False,False,False,False,False,False,
6.8,8.193,82.0,6.0,False,False,False,True,False,False,False,False,False,0.0
8.6,47.008,7486.0,8.4,False,False,False,True,False,False,False,False,False,0.0
7.5,14.357,1678.0,7.1,False,False,True,False,False,False,False,False,False,0.0
8.6,55.887,13162.0,8.448,False,False,False,False,False,True,False,False,False,1.0
7.7,60.818,81.0,7.457,True,False,False,False,False,False,False,False,False,0.0
7.2,12.73,304.0,6.658,True,False,False,False,False,False,False,False,False,0.0
6.8,3.521,27.0,6.6,False,False,False,False,False,False,True,False,False,0.0
8.0,43.867,3468.0,7.789,True,False,False,False,False,False,False,False,False,1.0
7.8,20.279,1326.0,7.368,False,False,False,False,False,False,True,False,False,
6.4,6.284,75.0,6.2,False,True,False,False,False,False,False,False,False,0.0
7.3,10.433,188.0,7.0,False,False,False,False,False,False,False,True,False,0.0
6.7,8.904,382.0,6.4,True,False,False,False,False,False,False,False,False,1.0
7.3,12.98,333.0,6.9,False,False,False,False,False,False,False,False,True,0.0
8.5,148.769,19291.0,8.2,False,False,False,False,False,False,True,False,False,0.0
7.7,26.372,4398.0,7.4,False,False,False,False,False,False,False,False,True,0.0
6.6,8.702,73.0,5.932,False,False,False,False,True,False,False,False,False,0.0
6.6,13.442,395.0,6.418,False,False,False,False,False,False,False,False,True,0.0
7.7,23.946,1417.0,7.475,False,False,False,False,False,True,False,False,False,
8.4,61.249,8322.0,8.271,False,False,False,False,False,False,False,True,False,0.0
7.2,33.072,8372.0,7.1,False,False,False,False,False,False,True,False,False,0.0
7.8,53.215,6922.0,7.59,False,False,False,False,False,False,False,True,False,
8.0,43.628,4272.0,7.8,False,False,False,False,False,False,True,False,False,0.0
6.4,8.846,216.0,5.979,False,False,False,False,False,False,False,True,False,0.0
