Winner,Category,Genres,Director,Vote_Count,Popularity
False,2,149,662,223,10.742
False,7,96,112,2902,30.399
False,4,96,112,2902,30.399
False,6,96,112,2902,30.399
False,2,96,112,2902,30.399
False,8,149,13,3765,19.227
False,8,149,13,3765,19.227
False,4,149,13,3765,19.227
False,6,149,13,3765,19.227
False,5,149,13,3765,19.227
False,0,119,93,40,3.214
False,1,210,186,123,8.676
False,8,210,186,123,8.676
False,3,210,186,123,8.676
False,2,210,186,123,8.676
False,5,41,631,20179,79.181
True,4,203,205,31,2.302
False,6,203,205,31,2.302
False,1,125,286,208,8.752
False,5,212,262,198,9.169
False,7,217,362,64,4.934
False,3,51,286,28,4.643
False,7,38,261,9491,109.25
False,8,38,261,9491,109.25
False,6,38,261,9491,109.25
False,2,38,261,9491,109.25
False,3,95,13,226,12.426
False,8,125,228,566,8.978
True,3,48,684,2851,26.265
False,4,48,684,2851,26.265
False,6,48,684,2851,26.265
False,2,48,684,2851,26.265
False,7,105,350,1683,13.782
False,3,21,116,21163,59.506
False,3,0,351,5203,28.583
False,7,23,754,88,9.807
True,3,23,754,88,9.807
False,4,23,754,88,9.807
False,6,23,754,88,9.807
False,1,46,63,1060,12.625
False,4,46,63,1060,12.625
False,6,46,63,1060,12.625
False,2,46,63,1060,12.625
False,7,3,754,98,6.194
False,6,69,225,10018,99.42
False,0,76,561,183,7.799
False,0,76,561,183,7.799
False,7,76,561,183,7.799
False,3,76,561,183,7.799
False,4,76,561,183,7.799
False,6,76,561,183,7.799
False,1,212,645,19,2.386
False,2,203,602,2415,15.634
False,0,80,402,274,10.035
False,2,203,602,3419,23.824
True,7,102,506,1043,9.326
False,8,97,679,4398,26.372
False,4,97,679,4398,26.372
False,5,97,679,4398,26.372
False,1,102,299,111,10.337
False,0,74,1,635,11.035
False,7,74,1,635,11.035
False,1,74,1,635,11.035
False,0,97,268,995,13.551
True,7,97,268,995,13.551
False,7,80,414,1504,17.871
False,8,80,414,1504,17.871
False,4,80,414,1504,17.871
False,6,80,414,1504,17.871
True,5,80,414,1504,17.871
True,0,3,762,2795,57.206
True,7,3,762,2795,57.206
True,3,3,762,2795,57.206
True,4,3,762,2795,57.206
True,6,3,762,2795,57.206
False,3,51,615,30,4.944
False,0,228,208,14,1.357
False,2,218,152,20,2.814
False,5,14,472,4203,29.912
False,0,97,554,3666,26.899
False,5,97,554,3666,26.899
False,7,54,567,67,5.42
False,8,188,685,3852,20.034
False,4,188,685,3852,20.034
False,5,188,685,3852,20.034
False,3,250,158,19,2.931
False,0,73,367,302,15.802
False,7,73,367,302,15.802
False,8,73,367,302,15.802
False,3,73,367,302,15.802
False,0,95,13,12870,35.672
False,7,95,13,12870,35.672
False,8,95,13,12870,35.672
True,3,95,13,12870,35.672
True,4,95,13,12870,35.672
True,6,95,13,12870,35.672
True,5,95,13,12870,35.672
False,3,193,742,5,1.786
False,0,203,13,1108,11.622
False,0,141,491,21,4.124
False,3,23,609,5788,53.98
False,4,23,609,5788,53.98
True,3,149,498,479,12.814
False,6,8,652,22332,84.06
False,8,3,652,6632,80.182
True,1,218,145,14584,61.749
False,3,218,145,14584,61.749
False,4,218,145,14584,61.749
False,6,218,145,14584,61.749
False,3,138,595,150,9.849
False,7,70,680,7558,20.806
False,4,70,680,7558,20.806
False,6,70,680,7558,20.806
True,2,70,680,7558,20.806
True,3,25,165,13825,153.489
False,3,71,642,60,3.447
False,8,133,478,1884,21.245
False,1,172,30,1366,24.637
True,3,209,645,57,6.049
False,0,53,184,7674,36.37
False,7,53,184,7674,36.37
False,2,149,621,25,1.633
False,1,80,482,31,3.934
False,3,80,482,31,3.934
False,4,198,503,1251,11.943
False,5,198,503,1251,11.943
True,1,102,764,3441,14.023
False,8,102,764,3441,14.023
False,5,102,764,3441,14.023
True,1,203,727,131,11.824
False,1,203,169,3258,37.852
False,4,140,154,3364,38.243
False,7,102,547,94,10.735
False,8,102,547,94,10.735
False,3,102,547,94,10.735
False,0,171,623,104,6.688
False,5,171,623,104,6.688
True,0,77,91,16951,49.995
False,6,77,91,16951,49.995
False,1,74,328,2999,19.243
False,8,74,328,2999,19.243
False,0,12,49,1630,23.922
False,7,12,49,1630,23.922
False,7,12,49,1630,23.922
False,1,12,49,1630,23.922
True,8,12,49,1630,23.922
True,3,12,49,1630,23.922
False,4,12,49,1630,23.922
False,6,12,49,1630,23.922
False,5,12,49,1630,23.922
False,7,149,550,3171,24.708
False,8,149,550,3171,24.708
False,5,149,550,3171,24.708
