Popularity,Vote_Average,IMDb_Rating,Genres,Director
19.0,7.7,8.0,156,525
6.1,6.5,7.0,170,359
14.6,6.8,7.2,101,613
25.3,7.4,7.8,13,159
16.7,7.9,8.1,73,344
9.8,7.2,7.6,142,683
10.1,6.5,7.0,210,575
19.9,8.0,8.3,90,239
3.3,6.5,7.2,203,115
9.8,6.6,7.0,212,398
14.3,7.2,7.0,131,525
1.8,5.8,5.7,193,742
1.4,6.5,6.9,203,392
11.2,6.7,7.0,149,356
5.2,6.7,7.1,51,218
21.0,7.3,7.3,149,431
56.1,7.4,7.8,23,116
33.1,8.0,8.3,149,656
30.2,7.4,7.4,74,694
10.8,7.1,7.3,203,756
22.1,7.7,7.8,95,385
28.9,8.0,8.4,77,509
18.7,6.4,6.6,2,559
20.2,7.5,7.7,19,760
9.1,6.6,7.2,95,541
21.1,7.6,7.9,140,525
81.4,8.1,8.3,142,720
11.2,7.3,7.9,203,296
22.1,7.4,7.6,149,665
26.6,7.6,7.6,193,58
31.6,8.0,8.1,217,121
16.7,6.8,6.5,74,540
77.9,7.6,8.1,56,734
9.6,7.3,7.6,203,537
2.2,6.6,7.4,203,304
18.2,7.6,7.9,149,186
30.4,6.2,6.9,96,112
11.0,7.4,7.6,149,429
20.6,7.2,7.5,149,475
20.3,7.4,7.7,142,656
7.0,7.4,7.5,157,474
22.7,7.0,7.0,55,365
12.4,7.3,7.5,76,622
38.4,7.7,7.9,95,18
63.2,7.4,7.8,74,150
8.6,7.6,8.0,157,186
2.2,6.6,7.4,203,304
9.8,7.2,7.6,142,683
57.8,7.6,7.8,165,150
10.9,7.2,7.6,149,468
9.0,6.8,7.6,88,245
29.2,8.0,8.3,194,536
8.9,7.2,7.3,71,762
2.1,6.5,7.2,74,174
147.7,7.8,8.1,5,254
26.3,7.0,7.4,99,235
20.0,8.1,8.3,136,72
55.9,8.4,8.6,102,632
26.1,7.6,8.0,177,533
40.8,8.4,8.7,202,509
62.8,7.4,7.7,19,165
4.2,6.5,7.0,121,233
18.9,7.3,7.6,139,628
3.9,6.9,7.2,88,578
7.5,7.0,7.2,136,762
17.3,7.0,7.4,156,96
27.2,7.3,7.7,76,59
6.3,6.3,7.0,203,391
24.0,7.9,8.1,196,423
13.5,6.5,7.1,241,413
6.6,6.8,7.1,136,132
10.3,7.8,8.0,102,213
14.8,7.0,7.5,95,268
15.0,7.1,6.8,48,381
7.1,6.5,7.0,203,683
3.3,6.0,6.3,96,528
21.6,7.2,7.4,212,42
10.4,7.1,7.6,187,358
3.9,6.7,7.6,88,478
6.6,6.9,7.2,80,255
9.8,6.9,7.1,142,358
56.7,8.0,8.2,198,460
23.2,6.7,6.6,192,68
17.7,7.6,7.8,125,231
17.0,7.2,7.4,142,378
13.0,7.1,7.1,81,345
2.6,6.9,7.2,149,427
22.9,7.8,8.1,54,153
9.9,7.4,7.8,203,173
11.0,6.8,7.1,95,702
2.6,6.6,7.3,203,511
26.7,7.5,7.2,203,719
78.8,7.9,8.2,142,192
10.2,5.9,6.5,39,727
5.0,6.9,7.4,203,419
2.1,6.4,6.4,149,752
20.4,7.5,7.8,102,502
30.4,7.2,7.5,3,569
2.9,7.1,7.3,125,529
23.9,6.8,7.0,217,475
35.5,7.4,7.6,216,695
3.5,6.6,6.8,189,276
11.1,7.5,7.8,136,370
29.6,8.0,8.2,178,683
7.9,6.5,7.0,203,439
20.4,7.5,7.8,102,502
14.6,6.8,7.2,101,613
8.1,6.7,7.2,149,467
0.8,5.4,6.8,74,380
16.0,6.6,6.8,102,508
9.3,6.7,7.0,203,378
6.1,5.8,6.1,154,276
0.8,6.4,6.3,175,728
36.2,6.2,5.8,51,586
47.0,7.0,7.1,90,591
14.0,7.4,7.8,34,573
12.1,6.2,6.2,37,598
12.6,7.5,7.8,189,77
10.5,7.0,7.3,73,64
30.7,7.7,8.0,141,142
10.4,6.8,6.9,121,239
9.2,7.3,7.7,203,245
18.4,7.4,7.4,48,638
1.4,5.7,6.2,209,147
4.0,7.1,7.4,108,745
13.1,6.9,7.1,76,517
3.3,6.0,6.3,96,528
24.3,8.3,8.4,168,72
12.4,7.4,7.5,191,552
8.1,7.4,7.9,178,633
32.7,7.7,8.0,76,722
24.7,7.0,7.5,73,30
23.6,7.6,7.5,81,589
29.4,8.0,8.3,134,621
9.0,6.4,6.9,215,459
29.2,7.8,8.0,149,56
13.3,7.9,8.1,95,206
5.7,6.7,7.0,196,278
39.0,7.2,7.7,216,19
20.6,6.4,6.6,76,245
19.9,8.0,8.3,90,239
9.7,7.2,7.5,74,77
4.0,6.4,6.9,102,210
20.9,6.9,7.3,76,695
33.1,7.1,7.2,103,2
7.6,5.2,5.6,193,273
9.4,6.6,6.7,90,440
176.2,8.7,9.2,134,203
13.6,7.6,7.6,95,683
42.4,7.9,8.1,76,692
255.2,7.1,7.4,198,181
7.7,7.2,7.4,149,552
108.1,8.6,9.0,76,695
3.7,6.5,6.7,203,627
11.8,6.8,7.2,71,519
