Popularity,Vote_Average,IMDb_Rating,Genres,Director,Winner
9.8,6.7,7.4,23,754,False
12.6,6.8,7.2,46,63,False
12.6,6.8,7.2,46,63,False
12.6,6.8,7.2,46,63,False
12.6,6.8,7.2,46,63,False
6.2,7.0,7.5,3,754,False
99.4,7.7,8.0,69,225,False
7.8,7.1,7.8,76,561,False
7.8,7.1,7.8,76,561,False
7.8,7.1,7.8,76,561,False
7.8,7.1,7.8,76,561,False
7.8,7.1,7.8,76,561,False
7.8,7.1,7.8,76,561,False
2.4,5.6,5.8,212,645,False
15.6,7.5,7.9,203,602,False
10.0,6.6,7.1,80,402,False
23.8,7.8,8.1,203,602,False
9.3,6.8,7.2,102,506,True
26.4,7.4,7.7,97,679,False
26.4,7.4,7.7,97,679,False
26.4,7.4,7.7,97,679,False
10.3,6.5,7.0,102,299,False
11.0,6.5,6.5,74,1,False
11.0,6.5,6.5,74,1,False
11.0,6.5,6.5,74,1,False
13.6,7.6,8.0,97,268,False
13.6,7.6,8.0,97,268,True
17.9,7.1,7.2,80,414,False
17.9,7.1,7.2,80,414,False
17.9,7.1,7.2,80,414,False
17.9,7.1,7.2,80,414,False
17.9,7.1,7.2,80,414,True
57.2,7.9,8.1,3,762,True
57.2,7.9,8.1,3,762,True
57.2,7.9,8.1,3,762,True
57.2,7.9,8.1,3,762,True
57.2,7.9,8.1,3,762,True
4.9,5.8,5.7,51,615,False
1.4,5.6,6.5,228,208,False
2.8,6.0,6.9,218,152,False
29.9,7.2,7.4,14,472,False
26.9,7.2,7.3,97,554,False
26.9,7.2,7.3,97,554,False
5.4,7.3,7.8,54,567,False
20.0,7.6,7.7,188,685,False
20.0,7.6,7.7,188,685,False
20.0,7.6,7.7,188,685,False
2.9,4.7,5.7,250,158,False
15.8,7.5,7.8,73,367,False
15.8,7.5,7.8,73,367,False
15.8,7.5,7.8,73,367,False
15.8,7.5,7.8,73,367,False
35.7,7.5,7.7,95,13,False
35.7,7.5,7.7,95,13,False
35.7,7.5,7.7,95,13,False
35.7,7.5,7.7,95,13,True
35.7,7.5,7.7,95,13,True
35.7,7.5,7.7,95,13,True
35.7,7.5,7.7,95,13,True
1.8,5.8,5.7,193,742,False
11.6,7.2,7.4,203,13,False
4.1,6.4,6.4,141,491,False
54.0,7.4,7.7,23,609,False
54.0,7.4,7.7,23,609,False
12.8,7.5,7.7,149,498,True
84.1,7.4,7.3,8,652,False
80.2,7.1,6.7,3,652,False
61.7,7.7,8.0,218,145,True
61.7,7.7,8.0,218,145,False
61.7,7.7,8.0,218,145,False
61.7,7.7,8.0,218,145,False
9.8,6.9,7.4,138,595,False
20.8,7.5,7.5,70,680,False
20.8,7.5,7.5,70,680,False
20.8,7.5,7.5,70,680,False
20.8,7.5,7.5,70,680,True
153.5,7.6,8.0,25,165,True
3.4,6.2,6.0,71,642,False
21.2,7.2,7.7,133,478,False
24.6,6.0,5.5,172,30,False
6.0,6.4,6.8,209,645,True
36.4,7.5,8.0,53,184,False
36.4,7.5,8.0,53,184,False
1.6,5.9,6.2,149,621,False
3.9,6.5,6.9,80,482,False
3.9,6.5,6.9,80,482,False
11.9,7.3,7.5,198,503,False
11.9,7.3,7.5,198,503,False
14.0,7.0,7.3,102,764,True
14.0,7.0,7.3,102,764,False
14.0,7.0,7.3,102,764,False
11.8,6.1,6.4,203,727,True
37.9,7.0,7.3,203,169,False
38.2,7.6,7.7,140,154,False
10.7,6.2,6.9,102,547,False
10.7,6.2,6.9,102,547,False
10.7,6.2,6.9,102,547,False
