Year,Category,Film,Film_ID,Nominee,Winner,TMDb_ID,Popularity,Vote_Count,Vote_Average,Genres,Director,IMDb_Rating
1981,Best Supporting Actress,Only When I Laugh,tt0082853,Joan Hackett,False,42146,2.363,17,6.0,,Glenn Jordan,6.4
1959,Best Original Screenplay,Operation Petticoat,tt0053143,"Story by Paul King, Joseph Stone; Screenplay by Stanley Shapiro, Maurice Richlin",False,9660,11.248,359,7.194,,Blake Edwards,7.3
1934,Best Cinematography,Operator 13,tt0025607,George Folsey,False,111310,3.886,13,5.7,,Richard Boleslawski,5.9
2023,Best Actor,Oppenheimer,tt15398776,Cillian Murphy,True,872585,130.743,9735,8.072,,Christopher Nolan,8.3
2023,Best Supporting Actor,Oppenheimer,tt15398776,Robert Downey Jr.,True,872585,130.743,9735,8.072,,Christopher Nolan,8.3
2023,Best Supporting Actress,Oppenheimer,tt15398776,Emily Blunt,False,872585,130.743,9735,8.072,,Christopher Nolan,8.3
2023,Best Cinematography,Oppenheimer,tt15398776,Hoyte van Hoytema,True,872585,130.743,9735,8.072,,Christopher Nolan,8.3
2023,Best Director,Oppenheimer,tt15398776,Christopher Nolan,True,872585,130.743,9735,8.072,,Christopher Nolan,8.3
2023,Best Picture,Oppenheimer,tt15398776,"Emma Thomas, Charles Roven and Christopher Nolan, Producers",True,872585,130.743,9735,8.072,,Christopher Nolan,8.3
2023,Best Adapted Screenplay,Oppenheimer,tt15398776,Written for the screen by Christopher Nolan,False,872585,130.743,9735,8.072,,Christopher Nolan,8.3
1965,Best Actor,Othello,tt0059555,Laurence Olivier,False,44006,2.581,26,6.4,,Stuart Burge,7.0
1965,Best Supporting Actor,Othello,tt0059555,Frank Finlay,False,44006,2.581,26,6.4,,Stuart Burge,7.0
1965,Best Supporting Actress,Othello,tt0059555,Joyce Redman,False,44006,2.581,26,6.4,,Stuart Burge,7.0
1965,Best Supporting Actress,Othello,tt0059555,Maggie Smith,False,44006,2.581,26,6.4,,Stuart Burge,7.0
1928,Best Cinematography,Our Dancing Daughters,tt0019237,George Barnes,False,42614,2.636,27,6.4,,Harry Beaumont,6.7
1940,Best Actress,Our Town,tt0032881,Martha Scott,False,23283,3.639,32,5.8,,Sam Wood,6.5
1940,Best Picture,Our Town,tt0032881,Sol Lesser (production company),False,23283,3.639,32,5.8,,Sam Wood,6.5
1985,Best Supporting Actor,Out of Africa,tt0089755,Klaus Maria Brandauer,False,606,15.998,1379,7.2,,Sydney Pollack,7.1
1985,Best Actress,Out of Africa,tt0089755,Meryl Streep,False,606,15.998,1379,7.2,,Sydney Pollack,7.1
1985,Best Cinematography,Out of Africa,tt0089755,David Watkin,True,606,15.998,1379,7.2,,Sydney Pollack,7.1
1985,Best Director,Out of Africa,tt0089755,Sydney Pollack,True,606,15.998,1379,7.2,,Sydney Pollack,7.1
1985,Best Picture,Out of Africa,tt0089755,"Sydney Pollack, Producer",True,606,15.998,1379,7.2,,Sydney Pollack,7.1
1985,Best Adapted Screenplay,Out of Africa,tt0089755,Kurt Luedtke,True,606,15.998,1379,7.2,,Sydney Pollack,7.1
1998,Best Adapted Screenplay,Out of Sight,tt0120780,Scott Frank,False,1389,16.348,1279,6.7,,Steven Soderbergh,7.0
2019,Best Actor,Pain and Glory,tt8291806,Antonio Banderas,False,519010,13.735,1783,7.392,,Pedro Almodóvar,7.5
2006,Best Cinematography,Pan's Labyrinth,tt0457430,Guillermo Navarro,True,1417,62.826,10615,7.753,,Guillermo del Toro,8.2
2006,Best Original Screenplay,Pan's Labyrinth,tt0457430,Written by Guillermo del Toro,False,1417,62.826,10615,7.753,,Guillermo del Toro,8.2
1973,Best Supporting Actress,Paper Moon,tt0070510,Madeline Kahn,False,11293,10.91,726,7.9,,Peter Bogdanovich,8.1
1973,Best Supporting Actress,Paper Moon,tt0070510,Tatum O'Neal,True,11293,10.91,726,7.9,,Peter Bogdanovich,8.1
2021,Best Actress,Parallel Mothers,tt12618926,Penélope Cruz,False,766798,26.238,939,6.829,,Pedro Almodóvar,7.1
2019,Best Director,Parasite,tt6751668,Bong Joon Ho,True,496243,109.921,18581,8.5,,Bong Joon Ho,8.5
2019,Best Picture,Parasite,tt6751668,"Kwak Sin Ae and Bong Joon Ho, Producers",True,496243,109.921,18581,8.5,,Bong Joon Ho,8.5
2019,Best Original Screenplay,Parasite,tt6751668,"Screenplay by Bong Joon Ho, Han Jin Won; Story by Bong Joon Ho",True,496243,109.921,18581,8.5,,Bong Joon Ho,8.5
1989,Best Supporting Actress,Parenthood,tt0098067,Dianne Wiest,False,1552,12.498,640,6.7,,Ron Howard,7.1
1992,Best Actress,Passion Fish,tt0105107,Mary McDonnell,False,41768,4.877,51,6.8,,John Sayles,7.3
1992,Best Original Screenplay,Passion Fish,tt0105107,John Sayles,False,41768,4.877,51,6.8,,John Sayles,7.3
2023,Best Picture,Past Lives,tt13238346,"David Hinojosa, Christine Vachon and Pamela Koffler, Producers",False,666277,41.342,1790,7.746,,Celine Song,7.8
2023,Best Original Screenplay,Past Lives,tt13238346,Written by Celine Song,False,666277,41.342,1790,7.746,,Celine Song,7.8
1970,Best Actor,Patton,tt0066206,George C. Scott,True,11202,13.725,1102,7.495,,Franklin J. Schaffner,8.0
1970,Best Cinematography,Patton,tt0066206,Fred Koenekamp,False,11202,13.725,1102,7.495,,Franklin J. Schaffner,8.0
1970,Best Director,Patton,tt0066206,Franklin J. Schaffner,True,11202,13.725,1102,7.495,,Franklin J. Schaffner,8.0
1970,Best Picture,Patton,tt0066206,"Frank McCarthy, Producer",True,11202,13.725,1102,7.495,,Franklin J. Schaffner,8.0
1986,Best Actress,Peggy Sue Got Married,tt0091738,Kathleen Turner,False,10013,8.791,567,6.1,,Francis Ford Coppola,6.4
1986,Best Cinematography,Peggy Sue Got Married,tt0091738,Jordan Cronenweth,False,10013,8.791,567,6.1,,Francis Ford Coppola,6.4
1988,Best Actor,Pelle the Conqueror,tt0093713,Max von Sydow,False,11174,8.566,147,7.3,,Bille August,7.7
1981,Best Adapted Screenplay,Pennies from Heaven,tt0082894,Dennis Potter,False,17450,5.437,93,6.054,,Herbert Ross,6.5
1941,Best Actor,Penny Serenade,tt0034012,Cary Grant,False,43795,6.879,110,6.6,,George Stevens,7.0
1960,Best Cinematography,Pepe,tt0054172,Joe MacDonald,False,82792,4.881,46,6.1,,George Sidney,6.0
1972,Best Supporting Actress,Pete 'n' Tillie,tt0069080,Geraldine Page,False,107774,2.63,17,5.5,,Martin Ritt,6.3
